,Menu,Day,Promotion,Month,Total_Qty,Sales_Status,Year,Date
0,Green Tea,Monday,No,1,8,Less Popular,2024,2024-01-01
1,Red Velvet Latte,Monday,No,1,15,Best Seller,2024,2024-01-01
2,Red Velvet Cake,Monday,Yes,1,13,Less Popular,2024,2024-01-01
3,Es Kopi Susu Gula Aren,Monday,No,1,20,Less Popular,2024,2024-01-01
4,Chicken Wings,Monday,No,1,18,Less Popular,2024,2024-01-01
5,Chocolate,Monday,No,1,24,Best Seller,2024,2024-01-01
6,Cookies,Monday,No,1,15,Less Popular,2024,2024-01-01
7,Latte,Monday,No,1,29,Best Seller,2024,2024-01-01
8,Iced Latte,Monday,No,1,18,Less Popular,2024,2024-01-01
9,Taro Latte,Monday,No,1,19,Best Seller,2024,2024-01-01
10,Donut,Monday,No,1,17,Less Popular,2024,2024-01-01
11,Iced Americano,Monday,No,1,21,Less Popular,2024,2024-01-01
12,Lychee Tea,Monday,No,1,14,Less Popular,2024,2024-01-01
13,Croissant,Monday,Yes,1,20,Best Seller,2024,2024-01-01
14,Mocha,Monday,No,1,20,Best Seller,2024,2024-01-01
15,Es Kopi Susu Gula Aren,Monday,No,1,18,Less Popular,2024,2024-01-01
16,Cold Brew,Monday,No,1,12,Less Popular,2024,2024-01-01
17,Green Tea,Monday,Yes,1,13,Less Popular,2024,2024-01-01
18,Tea Latte,Monday,No,1,12,Best Seller,2024,2024-01-01
19,Vietnamese Coffee,Monday,No,1,10,Less Popular,2024,2024-01-01
20,French Fries,Monday,Yes,1,26,Best Seller,2024,2024-01-01
21,Americano,Monday,Yes,1,37,Best Seller,2024,2024-01-01
22,Es Kopi Susu Gula Aren,Monday,Yes,1,29,Less Popular,2024,2024-01-01
23,Peach Tea,Monday,Yes,1,14,Less Popular,2024,2024-01-01
24,Affogato,Monday,No,1,9,Best Seller,2024,2024-01-01
25,Croissant,Monday,No,1,17,Less Popular,2024,2024-01-01
26,Iced Latte,Monday,No,1,13,Less Popular,2024,2024-01-01
27,Tea Latte,Monday,No,1,10,Best Seller,2024,2024-01-01
28,Pain au Chocolat,Monday,Yes,1,17,Best Seller,2024,2024-01-01
29,Cookies,Monday,No,1,14,Less Popular,2024,2024-01-01
30,Cheesecake,Monday,Yes,1,11,Best Seller,2024,2024-01-01
31,Espresso,Tuesday,Yes,1,16,Best Seller,2024,2024-01-02
32,Affogato,Tuesday,No,1,9,Best Seller,2024,2024-01-02
33,Red Velvet Cake,Tuesday,No,1,11,Less Popular,2024,2024-01-02
34,Red Velvet Cake,Tuesday,No,1,11,Less Popular,2024,2024-01-02
35,Latte,Tuesday,No,1,28,Best Seller,2024,2024-01-02
36,Pain au Chocolat,Tuesday,No,1,16,Less Popular,2024,2024-01-02
37,Tea Latte,Tuesday,Yes,1,13,Best Seller,2024,2024-01-02
38,Lemon Tea,Tuesday,No,1,10,Less Popular,2024,2024-01-02
39,Es Kopi Susu Gula Aren,Tuesday,No,1,18,Less Popular,2024,2024-01-02
40,Brownies,Tuesday,No,1,13,Less Popular,2024,2024-01-02
41,Macchiato,Tuesday,No,1,21,Best Seller,2024,2024-01-02
42,Muffin,Tuesday,No,1,15,Less Popular,2024,2024-01-02
43,Muffin,Tuesday,Yes,1,16,Best Seller,2024,2024-01-02
44,Cold Brew,Tuesday,No,1,14,Less Popular,2024,2024-01-02
45,Es Kopi Susu Gula Aren,Tuesday,Yes,1,23,Less Popular,2024,2024-01-02
46,Affogato,Tuesday,Yes,1,11,Best Seller,2024,2024-01-02
47,Red Velvet Latte,Tuesday,No,1,18,Best Seller,2024,2024-01-02
48,Green Tea,Tuesday,No,1,8,Less Popular,2024,2024-01-02
49,Latte,Tuesday,No,1,26,Best Seller,2024,2024-01-02
50,Mocha,Tuesday,Yes,1,25,Best Seller,2024,2024-01-02
51,Vietnamese Coffee,Tuesday,No,1,8,Less Popular,2024,2024-01-02
52,Pain au Chocolat,Tuesday,No,1,14,Less Popular,2024,2024-01-02
53,Lemon Tea,Tuesday,Yes,1,18,Less Popular,2024,2024-01-02
54,Red Velvet Latte,Wednesday,No,1,18,Best Seller,2024,2024-01-03
55,Lemon Tea,Wednesday,Yes,1,17,Less Popular,2024,2024-01-03
56,Tea Latte,Wednesday,No,1,12,Best Seller,2024,2024-01-03
57,Affogato,Wednesday,No,1,9,Best Seller,2024,2024-01-03
58,Muffin,Wednesday,Yes,1,17,Best Seller,2024,2024-01-03
59,Red Velvet Cake,Wednesday,Yes,1,10,Less Popular,2024,2024-01-03
60,Cookies,Wednesday,Yes,1,20,Best Seller,2024,2024-01-03
61,Latte,Wednesday,Yes,1,32,Best Seller,2024,2024-01-03
62,Red Velvet Cake,Wednesday,No,1,10,Less Popular,2024,2024-01-03
63,Cheesecake,Wednesday,Yes,1,11,Best Seller,2024,2024-01-03
64,Red Velvet Cake,Wednesday,No,1,10,Less Popular,2024,2024-01-03
65,Donut,Wednesday,Yes,1,31,Best Seller,2024,2024-01-03
66,Burger,Wednesday,No,1,15,Less Popular,2024,2024-01-03
67,Mocha,Wednesday,Yes,1,26,Best Seller,2024,2024-01-03
68,Muffin,Wednesday,No,1,14,Less Popular,2024,2024-01-03
69,Cappuccino,Wednesday,Yes,1,36,Best Seller,2024,2024-01-03
70,Mineral Water,Wednesday,No,1,7,Less Popular,2024,2024-01-03
71,Cookies,Wednesday,No,1,16,Less Popular,2024,2024-01-03
72,Vietnamese Coffee,Wednesday,No,1,7,Less Popular,2024,2024-01-03
73,Cappuccino,Thursday,Yes,1,33,Best Seller,2024,2024-01-04
74,Brownies,Thursday,Yes,1,18,Best Seller,2024,2024-01-04
75,Spaghetti,Thursday,Yes,1,11,Less Popular,2024,2024-01-04
76,Tea Latte,Thursday,Yes,1,15,Best Seller,2024,2024-01-04
77,Toast,Thursday,Yes,1,19,Best Seller,2024,2024-01-04
78,Flat White,Thursday,No,1,17,Best Seller,2024,2024-01-04
79,Red Velvet Cake,Thursday,No,1,11,Less Popular,2024,2024-01-04
80,Iced Latte,Thursday,Yes,1,20,Less Popular,2024,2024-01-04
81,Pain au Chocolat,Thursday,No,1,16,Less Popular,2024,2024-01-04
82,French Fries,Thursday,Yes,1,19,Best Seller,2024,2024-01-04
83,Peach Tea,Thursday,No,1,11,Less Popular,2024,2024-01-04
84,Donut,Thursday,No,1,19,Less Popular,2024,2024-01-04
85,Brownies,Thursday,No,1,13,Less Popular,2024,2024-01-04
86,Lemon Tea,Thursday,No,1,11,Less Popular,2024,2024-01-04
87,Lemon Tea,Thursday,No,1,13,Less Popular,2024,2024-01-04
88,Macchiato,Thursday,No,1,21,Best Seller,2024,2024-01-04
89,Burger,Thursday,No,1,15,Less Popular,2024,2024-01-04
90,Tiramisu,Thursday,No,1,11,Less Popular,2024,2024-01-04
91,Donut,Thursday,Yes,1,26,Best Seller,2024,2024-01-04
92,Cookies,Thursday,No,1,14,Less Popular,2024,2024-01-04
93,Mineral Water,Thursday,No,1,7,Less Popular,2024,2024-01-04
94,Cheesecake,Thursday,No,1,10,Less Popular,2024,2024-01-04
95,Espresso,Thursday,No,1,12,Best Seller,2024,2024-01-04
96,Red Velvet Latte,Friday,No,1,21,Best Seller,2024,2024-01-05
97,Americano,Friday,Yes,1,32,Best Seller,2024,2024-01-05
98,Lemon Tea,Friday,Yes,1,15,Less Popular,2024,2024-01-05
99,Pain au Chocolat,Friday,No,1,18,Less Popular,2024,2024-01-05
100,Cookies,Friday,No,1,21,Less Popular,2024,2024-01-05
101,Mineral Water,Friday,Yes,1,10,Less Popular,2024,2024-01-05
102,Es Kopi Susu Gula Aren,Friday,No,1,20,Less Popular,2024,2024-01-05
103,Cold Brew,Friday,No,1,12,Less Popular,2024,2024-01-05
104,Muffin,Friday,No,1,15,Less Popular,2024,2024-01-05
105,Lychee Tea,Friday,No,1,16,Less Popular,2024,2024-01-05
106,Es Kopi Susu Gula Aren,Friday,Yes,1,20,Less Popular,2024,2024-01-05
107,Croissant,Friday,No,1,20,Less Popular,2024,2024-01-05
108,Cookies,Friday,Yes,1,22,Best Seller,2024,2024-01-05
109,Matcha Latte,Friday,No,1,25,Best Seller,2024,2024-01-05
110,Mineral Water,Friday,Yes,1,10,Less Popular,2024,2024-01-05
111,Burger,Friday,Yes,1,17,Best Seller,2024,2024-01-05
112,Pain au Chocolat,Friday,Yes,1,23,Best Seller,2024,2024-01-05
113,Croissant,Friday,No,1,22,Less Popular,2024,2024-01-05
114,Cinnamon Roll,Friday,Yes,1,19,Best Seller,2024,2024-01-05
115,Espresso,Friday,No,1,12,Best Seller,2024,2024-01-05
116,Mineral Water,Friday,No,1,8,Less Popular,2024,2024-01-05
117,Spaghetti,Friday,No,1,13,Best Seller,2024,2024-01-05
118,Croissant,Friday,Yes,1,23,Best Seller,2024,2024-01-05
119,Americano,Friday,No,1,21,Best Seller,2024,2024-01-05
120,Matcha Latte,Friday,No,1,27,Best Seller,2024,2024-01-05
121,Lychee Tea,Friday,Yes,1,18,Less Popular,2024,2024-01-05
122,Mineral Water,Friday,Yes,1,11,Less Popular,2024,2024-01-05
123,Red Velvet Latte,Friday,No,1,21,Best Seller,2024,2024-01-05
124,Burger,Saturday,No,1,23,Best Seller,2024,2024-01-06
125,Lychee Tea,Saturday,Yes,1,21,Less Popular,2024,2024-01-06
126,French Fries,Saturday,No,1,31,Best Seller,2024,2024-01-06
127,Brownies,Saturday,No,1,25,Best Seller,2024,2024-01-06
128,Americano,Saturday,Yes,1,13,Less Popular,2024,2024-01-06
129,Es Kopi Susu Gula Aren,Saturday,Yes,1,21,Less Popular,2024,2024-01-06
130,Tiramisu,Saturday,No,1,17,Best Seller,2024,2024-01-06
131,Mocha,Saturday,Yes,1,22,Best Seller,2024,2024-01-06
132,Matcha Latte,Saturday,Yes,1,30,Best Seller,2024,2024-01-06
133,Flat White,Saturday,No,1,17,Best Seller,2024,2024-01-06
134,Lychee Tea,Saturday,No,1,20,Less Popular,2024,2024-01-06
135,Brownies,Saturday,Yes,1,27,Best Seller,2024,2024-01-06
136,Mineral Water,Saturday,No,1,10,Less Popular,2024,2024-01-06
137,Red Velvet Cake,Saturday,No,1,15,Best Seller,2024,2024-01-06
138,Iced Americano,Saturday,No,1,12,Less Popular,2024,2024-01-06
139,Vietnamese Coffee,Saturday,No,1,10,Less Popular,2024,2024-01-06
140,Red Velvet Latte,Saturday,No,1,30,Best Seller,2024,2024-01-06
141,Iced Latte,Saturday,No,1,16,Less Popular,2024,2024-01-06
142,Tea Latte,Saturday,Yes,1,17,Best Seller,2024,2024-01-06
143,Tiramisu,Saturday,No,1,23,Best Seller,2024,2024-01-06
144,Tea Latte,Saturday,Yes,1,18,Best Seller,2024,2024-01-06
145,Matcha Latte,Saturday,Yes,1,30,Best Seller,2024,2024-01-06
146,Burger,Saturday,No,1,24,Best Seller,2024,2024-01-06
147,Cappuccino,Saturday,Yes,1,25,Best Seller,2024,2024-01-06
148,Croissant,Saturday,No,1,22,Best Seller,2024,2024-01-06
149,Macchiato,Saturday,Yes,1,14,Less Popular,2024,2024-01-06
150,Lychee Tea,Saturday,Yes,1,21,Less Popular,2024,2024-01-06
151,Macchiato,Saturday,No,1,15,Less Popular,2024,2024-01-06
152,Americano,Saturday,Yes,1,21,Less Popular,2024,2024-01-06
153,Burger,Saturday,No,1,23,Best Seller,2024,2024-01-06
154,French Fries,Saturday,Yes,1,31,Best Seller,2024,2024-01-06
155,Toast,Sunday,No,1,23,Best Seller,2024,2024-01-07
156,Affogato,Sunday,No,1,14,Best Seller,2024,2024-01-07
157,Cookies,Sunday,No,1,24,Best Seller,2024,2024-01-07
158,Croissant,Sunday,No,1,29,Best Seller,2024,2024-01-07
159,Pain au Chocolat,Sunday,Yes,1,24,Best Seller,2024,2024-01-07
160,Taro Latte,Sunday,No,1,28,Best Seller,2024,2024-01-07
161,Green Tea,Sunday,No,1,14,Less Popular,2024,2024-01-07
162,Lemon Tea,Sunday,No,1,14,Less Popular,2024,2024-01-07
163,Americano,Sunday,No,1,14,Less Popular,2024,2024-01-07
164,Brownies,Sunday,No,1,22,Best Seller,2024,2024-01-07
165,Es Kopi Susu Gula Aren,Sunday,No,1,24,Less Popular,2024,2024-01-07
166,Americano,Sunday,No,1,15,Less Popular,2024,2024-01-07
167,Green Tea,Sunday,No,1,16,Less Popular,2024,2024-01-07
168,Brownies,Sunday,Yes,1,24,Best Seller,2024,2024-01-07
169,Latte,Sunday,No,1,32,Best Seller,2024,2024-01-07
170,Cappuccino,Sunday,Yes,1,27,Best Seller,2024,2024-01-07
171,Toast,Sunday,No,1,24,Best Seller,2024,2024-01-07
172,Cappuccino,Sunday,No,1,30,Best Seller,2024,2024-01-07
173,Taro Latte,Sunday,No,1,24,Best Seller,2024,2024-01-07
174,Flat White,Sunday,Yes,1,19,Best Seller,2024,2024-01-07
175,Red Velvet Latte,Sunday,Yes,1,29,Best Seller,2024,2024-01-07
176,Cappuccino,Sunday,No,1,29,Best Seller,2024,2024-01-07
177,Red Velvet Latte,Sunday,Yes,1,33,Best Seller,2024,2024-01-07
178,Cold Brew,Sunday,No,1,8,Less Popular,2024,2024-01-07
179,Croissant,Monday,No,1,18,Less Popular,2024,2024-01-08
180,Matcha Latte,Monday,No,1,22,Best Seller,2024,2024-01-08
181,Iced Americano,Monday,Yes,1,34,Best Seller,2024,2024-01-08
182,Cinnamon Roll,Monday,No,1,13,Less Popular,2024,2024-01-08
183,Green Tea,Monday,No,1,9,Less Popular,2024,2024-01-08
184,Red Velvet Cake,Monday,Yes,1,10,Less Popular,2024,2024-01-08
185,Es Kopi Susu Gula Aren,Monday,No,1,16,Less Popular,2024,2024-01-08
186,Americano,Monday,No,1,33,Best Seller,2024,2024-01-08
187,Macchiato,Monday,No,1,23,Best Seller,2024,2024-01-08
188,Cookies,Monday,No,1,15,Less Popular,2024,2024-01-08
189,Macchiato,Monday,No,1,20,Best Seller,2024,2024-01-08
190,Iced Americano,Monday,Yes,1,32,Best Seller,2024,2024-01-08
191,Donut,Monday,Yes,1,25,Best Seller,2024,2024-01-08
192,Red Velvet Cake,Monday,No,1,9,Less Popular,2024,2024-01-08
193,Chocolate,Monday,Yes,1,28,Best Seller,2024,2024-01-08
194,French Fries,Monday,No,1,15,Less Popular,2024,2024-01-08
195,Green Tea,Monday,Yes,1,13,Less Popular,2024,2024-01-08
196,Cheesecake,Monday,No,1,12,Less Popular,2024,2024-01-08
197,Mocha,Monday,No,1,22,Best Seller,2024,2024-01-08
